language,title,QID,p21,gender,p106,occupation,pw first sentence
en,Dorothy Gillespie,Q23035121,Q6581072,female,,,"Dorothy Gillespie (June 29, 1920 – September 30, 2012) was an American artist and sculptor who became known for her large and colorful abstract metal sculptures"
en,Dorothy Ochtman,Q23013779,Q6581072,female,,,"Dorothy Ochtman (March 8, 1892 - April 26, 1971) was an American painter"
en,Dorothy Wagner Puccinelli,Q23620464,Q6581072,female,,,"Dorothy Puccinelli also known as Dorothy Puccinelli Cravath and Dorothy Wagner Puccinelli (born December 19, 1901 – died May 24, 1974) was a Californian, WPA-era artist and muralist based in San Francisco"
en,Edith Grace Coombs,Q29019890,Q6581072,female,,,Edith Grace Coombs (1890 – 1986) was a Canadian artist and educator
en,Edith Mansell Moullin,Q18917438,Q6581072,female,,,Edith Mansell Moullin (1859–1941) was an English suffragist of Welsh heritage and social activist
en,Eileen Mary Casey,Q23416737,Q6581072,female,,,"Eileen Mary Casey (1881–1972) was a suffragette, translator and teacher"
en,Elaine Anthony,Q23071296,Q6581072,female,,,"Elaine Anthony (1943 – 1996), was an American mixed media painter"
en,Eleanor May Moore,Q23585631,Q6581072,female,,,"Eleanor May Moore (March 10, 1875 – October 1, 1949) was an Australian pacifist"
en,Eleanor Tufts,Q23620101,Q6581072,female,,,"Eleanor May Tufts (February 1, 1927 – December 2, 1991) was a feminist art historian and professor of art history at Southern Methodist University in Dallas, Texas"
en,Elena Rossini,Q23771550,Q6581072,female,,,"Elena Rossini is an Italian filmmaker, writer and artist best known for the documentary film The Illusionists"
en,Elina González Acha de Correa Morales,Q23584777,Q6581072,female,,,"Elina González Acha de Correa Morales (20 January 1861 – 13 August 1942) was an Argentine educator, scientist and women's rights activist"
en,Elise Brandes,Q12309768,Q6581072,female,,,"Elise Brandes (née Rustad, 1873–1918) was a Danish sculptor who specialized in busts"
en,Eliza Pickrell Routt,Q25344736,Q6581072,female,,,Eliza Pickrell Routt (1839–1907) was a pioneer in women's suffrage and the original first lady of the state of Colorado
en,Elizabeth Baird (writer),Q23008302,Q6581072,female,,,Elizabeth Thérèse Baird (1810–1890) was an early resident of Wisconsin and one of the first writers to describe pioneer life in the state
en,Elizabeth Crawford (painter),Q23014924,Q6581072,female,,,Elizabeth Crawford is an American painter who obtained her bachelor's degree of Fine Arts at Washington University St
en,Elizabeth Erickson,Q23770177,Q6581072,female,,,"Elizabeth Erickson (born 1942) is an American painter, feminist artist, poet, and educator"
en,Elizabeth Holmes Fisher,Q23016850,Q6581072,female,,,"Elizabeth Holmes Fisher (September 13, 1867 – November 13, 1955) was an American art collector and the first woman elected to the University of Southern California’s board of trustees"
en,Elizabeth Losh,Q19564346,Q6581072,female,,,"Elizabeth Losh is a media theorist and digital rhetoric scholar, who is associate professor of English and American Studies at the College of William and Mary"
en,Elizabeth MacKenzie,Q28974174,Q6581072,female,,,"Elizabeth MacKenzie (born 1955) is a Canadian artist based in Vancouver known for her drawing, installation and video since the early eighties"
en,Ellen Heaton,Q18922209,Q6581072,female,,,"Ellen Heaton (1816–1894) was a philanthropist and art collector in Leeds, best known for her patronage of and friendships with members and associates of the Pre-Raphaelite Brotherhood and the influential art critic John Ruskin"
en,Ellene Alice Bailey,Q28921797,Q6581072,female,,,"Ellene Alice Bailey (1853 – July 22, 1897) was an American designer and inventor specializing in clothing and household goods"
en,Elma Gove,Q23613016,Q6581072,female,,,Elma Mary Gove (1832–1921) was an American painter
en,Elsa Longhauser,Q23133005,Q6581072,female,,,Elsa Longhauser is executive director of the Santa Monica Museum of Art
en,Elvira Raimondi,Q23307774,Q6581072,female,,,Elvira Raimondi (1866–1920) was an Italian woman painter
en,Elza Mayhew,Q23616548,Q6581072,female,,,"Elza Edith Mayhew (January 19, 1916 – January 11, 2004) was a Canadian sculptor who worked mainly in bronze"
en,Emily Clayton Bishop,Q28966707,Q6581072,female,,,"Emily Clayton Bishop (April 23, 1883 – March 1, 1912) was a prize-winning sculptor"
en,Emily Louise Orr Elliott,Q28940782,Q6581072,female,,,"Emily Louise Orr Elliott (July 22, 1867 – February 27, 1952) was a Canadian artist and fashion designer"
en,Emma Cheves Wilkins,Q23621519,Q6581072,female,,,Emma Cheves Wilkins (1870–1956) was an American painter who played a major role in the art scene in Savannah during the early twentieth century
en,Emma Curtiss Bascom,Q28945709,Q6581072,female,,,"Emma Curtiss Bascom (née Emma Curtiss; April 20, 1828 – 1916) was a 19th-century American educator, suffragist and reformer from the U"
en,Emma Mendenhall,Q29035293,Q6581072,female,,,"Emma Mendenhall (March 15, 1873 – March 25, 1964) was an American landscape, portrait and still life painter"
en,Engy Ghozlan,Q4119067,Q6581072,female,,,Engy Ayman Ghozlan (Arabic: إنجي أيمن غزلان‎ ; born 1985) is a social activist and journalist who highlights problems of sexual harassment of women in the streets of Egypt
en,Erica Deichmann Gregg,Q23071255,Q6581072,female,,,Erica Deichmann Gregg  (née Matthiesen; 23 July 1913 – 21 May 2007) was a Canadian studio potter
en,Erica Lord,Q19666359,Q6581072,female,,,"Erica Lord is an interdisciplinary artist of Athabascian, Iñupiaq, Finnish, Swedish, English and Japanese heritage"
en,Erica Scourti,Q19592370,Q6581072,female,,,"Erica Scourti (born in Athens) is an artist based in the UK whose works (which combine performance, digital media, the web, and video) have been exhibited at The Brighton Photo Biennial, The Hayward Gallery Project Space, and The Photographers' Gallery in London Her performance project, Life In Adwords (2012), involved her keeping a diary by email to her Google account and creating videos based on the advertising targeted to her as a result"
en,Erin Castellan,Q28967900,Q6581072,female,,,Erin Castellan is a contemporary artist who creates works in paint and textile processes
en,Erin Christovale,Q23770358,Q6581072,female,,,"Erin Christovale is a film curator based in Los Angeles, California"
en,Erin Gee (artist),Q23091271,Q6581072,female,,,"Erin Gee (artist) is a Canadian artist based in Montreal, Quebec"
en,Erin Shirreff,Q23409633,Q6581072,female,,,"Erin Shirreff is a Canadian-born, New York-based artist who works primarily in photography, sculpture, and video"
en,Esther R. Sanger,Q23616707,Q6581072,female,,,Esther R
en,Eugenia Schuster,Q23023226,Q6581072,female,,,"Eugenia Mananyi Schuster (1865-1946) was a community activist in El Paso, Texas, and one of the presidents of the Woman's Club of El Paso"
en,Eugenia de Reuss Ianculescu,Q23025058,Q6581072,female,,,"Eugenia de Reuss Ianculescu (11 March 1866 – 29 December 1938) was a Romanian teacher, writer, and women's rights activist"
en,Eugenie Shonnard,Q23092071,Q6581072,female,,,"Eugenie Frederica Shonnard (1886 – 1978) was an American sculptor and painter born in Yonkers, New York"
en,Eva Bendien,Q5415013,Q6581072,female,,,"Eva Bendien (1921–2000), was a Dutch art collector and art gallery owner"
en,Eva Brook Donly,Q29050113,Q6581072,female,,,"Eva Brook Donly (April 30, 1867 – 1941) was a Canadian artist living in Ontario"
en,Excilia Saldaña,Q22957921,Q6581072,female,,,"Excilia Saldaña (7 August 1946 – 20 July 1999) was an Afro-Cuban juvenile literature writer, poet and academic"
en,Fiona Cheong,Q23664148,Q6581072,female,,,Fiona Cheong (born 1961) is a Singaporean-born novelist and academic
en,Florence Bell Robinson,Q23302669,Q6581072,female,,,"Florence Bell Robinson (1885-1973) was born on November 1, 1885 in Lapeer, Michigan"
en,Gay Robins,Q28921800,Q6581072,female,,,Gay Robins is an art historian
en,Georgia Blizzard,Q28939005,Q6581072,female,,,"Georgia Blizzard (May 7, 1919 - June 2, 2002) was an American ceramic artist from Virginia"
en,Georgina Quintana,Q28341296,Q6581072,female,,,Georgina Quintana (born 1956) is a Mexican artist
en,Gertrude Ann Youse,Q19664434,Q6581072,female,,,"Gertrude Ann Youse, more commonly known as Gay Youse, was a painter, teacher, and gallery director"
en,Gertruid Bolwater,Q2683015,Q6581072,female,,,"Gertruid (Truuj) Bolwater (died 1511), was a legendary Dutch heroine, known as the defender of Venlo during its siege by Emperor Maximilian I, when she climbed up the defence wall of the city and took over the defence wall from a fallen ensign"
en,Ginger Brooks Takahashi,Q19480049,Q6581072,female,,,"Ginger Brooks Takahashi (born July 26, 1977) is an American artist based in Brooklyn, New York, and North Braddock, Pennsylvania"
en,Ginny Lloyd,Q23023005,Q6581072,female,,,"Ginny Lloyd (born 1945, Maryland, US) is an American artist, noted for her work with mail art, photocopy art, performance art and photography"
en,Gisela Weimann,Q23566368,Q6581072,female,,,"Gisela Weimann (born June 10, 1943) is a German multimedia artist who lives and works in Berlin"
en,Giuliana Bruno,Q28925110,Q6581072,female,,,Giuliana Bruno is Emmet Blakeney Gleason Professor of Visual and Environmental Studies at Harvard University
en,Grace Lincoln Temple,Q23688943,Q6581072,female,,,"Grace Lincoln Temple (1865–1953), was an American interior designer and one of the first women to decorate a public U"
en,Grace Morris Craig,Q28950192,Q6581072,female,,,"Grace Morris Craig (February 20, 1891 – 1987) was a Canadian writer and artist living in Ontario"
en,Gwynneth Holt,Q23071368,Q6581072,female,,,"Rose Gwynneth Cobden Holt (1909-1995), known as Gwynneth, was an artist following in the tradition of religious ivory sculpture"
en,Hao Jianxiu,Q8248896,Q6581072,female,,,Hao Jianxiu (Chinese: 郝建秀; Wade–Giles: Hao Chien-hsiu; born November 1935) is a retired Chinese politician
en,Hazel Armour,Q23581104,Q6581072,female,,,Hazel Ruthven Armour ( born Edinburgh 1894; died Aldeburgh 1985) was a Scottish sculptor and medallist
en,He Chengyao,Q23409720,Q6581072,female,,,"He Chengyao (Chinese: 何成瑤; born 1964) is a Chinese artist residing in Beijing, China"
en,Hedi Kyle,Q29167532,Q6581072,female,,,Hedi Kyle (born 1937) is a German-born American book artist and educator who has had a major influence on the development of book arts
en,Helen Bigelow Merriman,Q28962302,Q6581072,female,,,"Helen Bigelow Merriman (1844–1933) was a painter and art collector, and one of the founders of the Worcester Art Museum, to which she also donated a number of paintings by European and American artists"
en,Helen Gorrill,Q24572166,Q6581072,female,,,"Helen Gorrill is a British artist, lecturer, curator, and art historian"
en,Helen Lee (artist),Q25189352,Q6581072,female,,,"Helen Lee is an artist, glassblower, designer, and educator"
en,Helen Van Vechten,Q23620388,Q6581072,female,,,Helen Van Vechten (1868–1949) was an American printer who became known for the hand-printed fine press books she produced for the Philosopher Press in Wisconsin around the turn of the 20th century
en,Helen Watson Phelps,Q23018388,Q6581072,female,,,Helen Watson Phelps (1864–1944) was an American painter
en,Hendrika Hofhuis,Q18246786,Q6581072,female,,,"Hendrika Hofhuis (1780–1849), was a Dutch woman, famous for being put on trial for witchcraft in 1823"
en,Henrietta Constantine,Q29017368,Q6581072,female,,,Henrietta Anne Constantine (1857 – 1934) was a Canadian photographer
en,Henrietta Hancock Britton,Q28966714,Q6581072,female,,,"Henrietta Hancock Britton (May 20, 1873 – July 27, 1963) was an English-born Canadian artist and educator"
en,Henriette Fauteux-Massé,Q28935086,Q6581072,female,,,"Henriette Fauteux-Massé (October 30, 1924 – March 5, 2005) was a Canadian painter living in Quebec"
en,Henriette Goldschmidt,Q101946,Q6581072,female,,,"Henriette Goldschmidt (1825-1920) was a German Jewish feminist, pedagogist and social worker"
en,Hildred Goodwine,Q23071346,Q6581072,female,,,Hildred R
en,Hollis Hammonds,Q23770240,Q6581072,female,,,"Hollis Hammonds is an American artist and academic, who is Associate professor of Art, and Chair of Visual Studies at St"
en,Hope Brooks,Q23682328,Q6581072,female,,,Hope Brooks (born 1944) is a Jamaican painter
en,Hyla Willis,Q24289098,Q6581072,female,,,"Hyla Willis is a founding member of subRosa, a feminist art collective"
en,Irene Kataq Angutitok,Q22957943,Q6581072,female,,,Irene Kataq Angutitok (1914 – 1971) was an Inuit sculptor
en,Isa Leshko,Q28935089,Q6581072,female,,,"Isa Leshko (born 1971) is an American fine art photographer best known for her Elderly Animals series which focuses on animal rights, aging and mortality"
en,Isabel Czerwenka-Wenkstetten,Q23664154,Q6581072,female,,,Isabel Czerwenka-Wenkstetten (born 1969) is a contemporary Austrian visual artist
en,Isabella Edenshaw,Q29053289,Q6581072,female,,,Isabella Edenshaw (1842 – 1926) was a First Nations basket weaver who lived in Haida Gwaii
en,Isabelle Pauwels,Q29033420,Q6581072,female,,,"Isabelle Pauwels (born 1975 in Kortrijk, Belgium) is a Vancouver-based artist who works primarily in video-based art"
en,Iskra Dimitrova,Q23409622,Q6581072,female,,,Iskra Dimitrova (born 1965) is a multimedia artist in the Republic of Macedonia
en,Jacqueline Hoang Nguyen,Q28943183,Q6581072,female,,,"Jacqueline Hoàng Nguyễn is a Canadian-born artist currently living in Stockholm, Sweden"
en,Jane Bissell Grabhorn,Q23613030,Q6581072,female,,,"Jane Bissell Grabhorn (1911–1973) was an American artist, typographer, bookbinder, and printer"
en,Jane Catherine Cummins,Q29023335,Q6581072,female,,,"Jane Catherine Cummins (ca 1841 – January 20, 1893) was a Canadian artist"
en,Jane Ford Aebersold,Q23020244,Q6581072,female,,,Jane Ford Aebersold is an artist specializing in ceramics
en,Janet Yee,Q23771886,Q6581072,female,,,Janet Yee (born 1934) is a Singaporean woman involved in social work and advocacy of children's rights
en,Janet Zweig,Q22957953,Q6581072,female,,,Janet Zweig is an American artist whose work consists primarily of art in the public realm and computer-driven language-generating sculpture
en,Janice Merrill Allred,Q23302654,Q6581072,female,,,"Janice Merrill Allred (born in 1947) is a Latter Day Saint theologian, writer, and Mormon feminist"
en,Janice Tanaka,Q19592458,Q6581072,female,,,"Janice Tanaka is a Japanese American media artist born in Hollywood, California known for making video collages"
en,Jayshree Satpute,Q23771263,Q6581072,female,,,"Recognized by The Guardian (UK) as one of the ""World's Top 100 Inspiring Women,"" Jayshree Satpute is a human rights lawyer and co-founder of Nazdeek"
en,Jeanette Shepperd Harrison Loop,Q23615781,Q6581072,female,,,Jeanette Shepperd Harrison Loop (1840–1909) was an American painter
en,Jeanine Durning,Q23770325,Q6581072,female,,,"Jeanine Durning is a choreographer, performer, and teacher based in New York"
en,Jeanne Randolph,Q23020872,Q6581072,female,,,"Jeanne Randolph (born 1943) is a cultural critic, author, performance artist and psychiatrist whose work explores the relationship between art and psychoanalytic theory"
en,Jeanne-Charlotte Allamand,Q28957218,Q6581072,female,,,"Jeanne-Charlotte Allamand (April 16, 1760 – September 18, 1839) was a Swiss-born Canadian pioneer, educator and artist"
en,Jeannie Mah,Q23091275,Q6581072,female,,,Jeannie Mah (born 1952) is a Canadian ceramic artist who is known for creating ceramic vessels that function as thought-provoking sculptures
en,Jelica Belović-Bernardzikowska,Q12633600,Q6581072,female,,,"Jelica Belović-Bernardzikowska Serbian: Јелице Беловић Бернадзиковске (1870-1946) was a Croatian ethnographer, journalist, writer, and feminist"
en,Jennifer Chan (artist),Q29035313,Q6581072,female,,,Jennifer Chan is a Canadian video and media artist and curator based in Toronto
en,Jennifer Konner,Q23091838,Q6581072,female,,,"Jennifer ""Jenni"" A"
en,Jennifer Levonian,Q23409745,Q6581072,female,,,Jennifer Levonian (born 1977) is a Philadelphia-based artist who creates cut-paper and watercolor animations
en,Jennifer McGregor,Q23133298,Q6581072,female,,,Jennifer McGregor is an American curator and arts planner
en,Jennifer Reeves,Q23092028,Q6581072,female,,,Jennifer Todd Reeves (born 1971) is a New York-based independent filmmaker
en,Jennifer Weih,Q29452167,Q6581072,female,,,"Jennifer Weih is an artist based in Vancouver, she currently teaches at the Emily Carr University of Art and Design"
en,Jennifer Wen Ma,Q23303202,Q6581072,female,,,"Jennifer Wen Ma (Chinese: 马文 1973, Beijing, China) is a visual artist working and living in New York and Beijing"
en,Jenny Marketou,Q23770350,Q6581072,female,,,"Jenny Marketou (Athens, 1954) is a Greek multidisciplinary artist, lecturer, and author noted for her interventions and technology based projects"
en,Jes Baker,Q22970555,Q6581072,female,,,Jes M
en,Jessica Eaton,Q23663995,Q6581072,female,,,Jessica Eaton (born 1977) is a Canadian photographer living in Montreal
en,Jessie Kalmbach Chase,Q23008317,Q6581072,female,,,"Jessie Kalmbach Chase (November 22, 1879 – October 1970) was a fine art painter based in Wisconsin"
en,Jessie Knight,Q28957226,Q6581072,female,,,Jessie Knight (1904 - 1992) was the first recorded female tattoo artist in the UK
en,Jessie Wilber,Q23621489,Q6581072,female,,,"Jessie Spaulding Wilber (November 10, 1912 – October 2, 1989) was an American printmaker and educator"
en,Jo-Ann Episkenew,Q23022281,Q6581072,female,,,"Jo-Ann Episkenew (19 August 1952 – 18 February 2016) was a Métis woman originally from Manitoba, though she lived in Saskatchewan for much of her life"
en,Joan Burt,Q28974319,Q6581072,female,,,Joan Burt (born 1930) is a Canadian architect and educator
en,Joan Dunlop,Q23678500,Q6581072,female,,,"Joan Marie Dunlop (neé Banks, May 20, 1934 - June 29, 2012) was a British women's health advocate and activist"
en,Joanna Harcourt-Smith,Q19664598,Q6581072,female,,,Joanna Harcourt-Smith was born in 1946 in Switzerland
en,Jocelyn Lee,Q23770044,Q6581072,female,,,Jocelyn Lee (born 1962) is a photographer who works largely in the documentary photography tradition
en,Johanna Calle,Q23409619,Q6581072,female,,,"Johanna Calle is an artist born in Bogota, Colombia in 1965"
en,Josephine Ryan,Q23308245,Q6581072,female,,,Mary Josephine Ryan (29 December 1884 – 16 April 1977) was an Irish nationalist
en,Josephine Taylor,Q19664109,Q6581072,female,,,Josephine Taylor is an American artist known for large narrative drawings
en,Joy Young Rogers,Q23621474,Q6581072,female,,,"Joy Young Rogers (August 14, 1891 - December 10, 1953) was a suffragist"
en,Joyce Clague,Q23641183,Q6581072,female,,,Joyce Caroline Clague MBE (née Mercy; born 22 July 1938) is an Australian political activist and Bundjalung elder
en,Joëlle Jones,Q29053856,Q6581072,female,,,Joëlle Jones is an American comic book artist
en,Judy Chartrand,Q23091263,Q6581072,female,,,"Judy Chartrand (born 1959) is a Cree artist from Manitoba, Canada"
en,Jules Muck,Q23762774,Q6581072,female,,,"Jules Muck is a graffiti and mural artist based in Venice, California"
en,Julia Solly,Q23197258,Q6581072,female,,,"Julia Solly (21 December 1862 – 1953) was a British suffragist, feminist and temperance activist"
en,Julie Hewett,Q24572153,Q6581072,female,,,Julie Hewett is an American makeup artist
en,Junco Sato Pollack,Q23770294,Q6581072,female,,,Junco Sato Pollack is a textile artist
en,Jung Hee Choi,Q23044820,Q6581072,female,,,"Jung Hee Choi is a Korean-born artist and musician, based in New York City, working in video, performance, sound and multi-media installation"
en,Kait Rhoads,Q23770203,Q6581072,female,,,Kait Rhoads is an American glass artist whose works have been featured at numerous notable exhibitions in the United States and internationally
en,Kande Balarabe,Q23540917,Q6581072,female,,,Sa'adatu Kande Balarabe was a Nigerian politician from Kano State
en,Kara Lynch,Q23017058,Q6581072,female,,,Kara Lynch is an American artist who teaches at Hampshire College
en,Karen Bulow,Q28970797,Q6581072,female,,,Karen Bulow (1899 – 1982) was a Danish-born Canadian textile artist
en,Kate Charlesworth,Q28957231,Q6581072,female,,,Kate Charlesworth is a British cartoonist and artist who has produced comics and illustrations since the 1970s
en,Katherine Day,Q29032056,Q6581072,female,,,"Katherine Day (January 7, 1889 – March 12, 1976) was a Canadian artist"
en,Katherine Duer Mackay,Q23614835,Q6581072,female,,,Katherine Alexander Duer Mackay (1878-1930) was a suffragist and socialite from New York city
en,Katherine Mitchell,Q19662839,Q6581072,female,,,"Katherine Mitchell (born 1944) is an American artist, best known for her abstract painting"
en,Kathleen Balfe,Q23581393,Q6581072,female,,,Kathleen Balfe (18 February 1893 – 14 September 1984) was an Irish nationalist who was a founder member of Cumann na mBan in Drogheda and the first woman member of the Drogheda corporation in 1967
en,Kathleen S. Bartels,Q23542721,Q6581072,female,,,Kathleen S
en,Kathryn Woodman Leighton,Q23017107,Q6581072,female,,,"Kathryn Woodman Leighton (March 17, 1875 − July 1, 1952) was an American artist, based in Los Angeles, California, best known for her Western landscapes and for portraits of Native Americans"
en,Kathy Rae Huffman,Q23770148,Q6581072,female,,,"Kathy Rae Huffman is an American curator, writer, producer, researcher, lecturer and expert for video and media art"
en,Kathy Slade,Q28974177,Q6581072,female,,,"Kathy Slade (1966) is a Canadian artist, author, curator, editor, and publisher born in Montreal, QC, and based in Vancouver, BC"
en,Katie van Scherpenberg,Q19802690,Q6581072,female,,,Katie van Scherpenberg (born 1940) is a Brazilian artist
en,Kay Angliss,Q28935804,Q6581072,female,,,"Katherine Margaret ""Kay"" Angliss (1923 – 2004) was a Canadian artist"
en,Kayoko Hoshino,Q29034405,Q6581072,female,,,"Kayoko Hoshino was born in 1949 on Kyushu, Japan, and later studied European history in Kyoto"
en,Kellie Jones,Q23014998,Q6581072,female,,,Kellie Jones (born 1959) is an American Associate Professor in Art History and Archaeology in African American Studies at Columbia University
en,Kelly Lycan,Q28966342,Q6581072,female,,,"Kelly Lycan is an installation and photo-based visual artist who lives and works in Vancouver, British Columbia"
en,Kelly Sears,Q23050163,Q6581072,female,,,Kelly Sears (born 1978) is an American animator and filmmaker
en,Kelly Wood (artist),Q29033682,Q6581072,female,,,"Kelly Wood (born 1962) is a Canadian visual artist and photographer from Toronto, Ontario"
en,Kim Hoeckele,Q23770309,Q6581072,female,,,"Kim Hoeckele is an multimedia artist currently living in New York, New York whose mediums include performance art, photography, found objects and video art"
en,Kim Schoenstadt,Q23770369,Q6581072,female,,,Kim Schoenstadt is a Los Angeles based artist
en,Kingmeata Etidlooie,Q23688796,Q6581072,female,,,"Kingmeata Etidlooie (alternate spellings, Kingmeata, Kingmeeatta, Kingmeattar, Etidlui, Etidloie; 1915-1989) was an Inuk visual artist and sculptor"
en,LaVerne Krause,Q23303166,Q6581072,female,,,LaVerne Erickson Krause (1924–1987) was an American artist
en,Laakuluk Williamson Bathory,Q28974323,Q6581072,female,,,"Sarah Nya Laakkuluk Jessen Williamson Bathory, known as Laakkuluk (born 1979) is an Indigenous Inuk artist based in Iqaluit, Nunavut"
en,Laiwan,Q23414836,Q6581072,female,,,"Laiwan (1961, Harare, Zimbabwe) is a visual artist, writer, and educator based in Vancouver, British Columbia"
en,Laleh Mehran,Q23303234,Q6581072,female,,,Laleh Mehran is a contemporary artist and Professor and Graduate Director in Emergent Digital Practices at the University of Denver
en,Lani Maestro,Q23015060,Q6581072,female,,,Lani Maestro is a Filipino-Canadian artist who divides her time between France and Canada
en,Laura Bragg,Q23013483,Q6581072,female,,,"Laura Bragg (October 9, 1881 – May 16, 1978) was a museum director who became the first woman to run a publicly funded art museum in America when she was named the director of the Charleston Museum in 1920"
en,Laura Kurgan,Q23091860,Q6581072,female,,,"Laura Kurgan is a South African architect and an associate professor at Columbia University Graduate School of Architecture, Planning and Preservation (GSAPP)"
en,Laura van Pappelendam,Q23619127,Q6581072,female,,,Laura Peternellie van Pappelendam (1883–1974) was an American painter and teacher
en,Laurie Jo Reynolds,Q23765872,Q6581072,female,,,Laurie Jo Reynolds is an American artist most known for her work in policy and social practice
en,Laurie Trok,Q23769858,Q6581072,female,,,"Laurie Trok is a mixed media artist living in Pittsburgh, Pennsylvania"
en,Leda Catunda,Q10316857,Q6581072,female,,,"Leda Catunda Serra, known as Leda Catunda (born 1961) is a Brazilian painter, sculptor, graphic artist and educator"
en,Leela Corman,Q23771512,Q6581072,female,,,"Leela Corman is a cartoonist, illustrator, and Middle Eastern dancer"
en,Leesa Streifler,Q23091305,Q6581072,female,,,"Leesa Streifler (born 1957) is a Canadian multi-disciplinary artist and art professor who lives in Regina, Saskatchewan"
en,Lenka Clayton,Q23303184,Q6581072,female,,,"Lenka Clayton (born 1977 Cornwall, England) is a British-American conceptual artist and educator based in Pittsburgh"
en,Leona Ford Washington,Q23071541,Q6581072,female,,,"Leona Ford Washington (1928 – August 5, 2007) was a community activist in Texas and founder of the McCall Neighborhood Center in El Paso"
en,Leslie de Barra,Q23584766,Q6581072,female,,,"Leslie Mary de Barra (née Price; 9 January 1893 – 9 April 1984) was an Irish nationalist active during the Easter Rising of 1916, the War of Independence and the Civil War, becoming Director of Cumann na mBan"
en,Liliana Cossovel,Q23683516,Q6581072,female,,,Liliana Cossovel (Gorizia 1924 – Venice 1984) was an Italian artist specializing in abstract painting and collage
en,Linda Chen,Q23683532,Q6581072,female,,,"Linda Chen (Chinese: 陈蒙鹤; also known as Linda Chen Mock Hock or Linda Chen Mong Hock 1929-2002) was a Chinese-born, Singaporean linguist, writer, feminist and businesswoman"
en,Linda Duvall,Q29526422,Q6581072,female,,,Linda Duvall is a Canadian artist and educator based in Saskatchewan and Toronto
en,Lisa Anne Auerbach,Q23418568,Q6581072,female,,,"Lisa Anne Auerbach is an American textile artist, Zine writer, photographer, best known for her knitting works with humorous political commentary"
en,Lita Fontaine,Q23760812,Q6581072,female,,,"Lita Fontaine is an interdisciplinary artist based in Winnipeg, Manitoba"
en,Liz Magic Laser,Q23887704,Q6581072,female,,,"Liz Magic Laser (born 1981, New York) is an American visual artist working primarily in video and performance based art in Brooklyn, New York"
en,Louise Josephine Pope,Q23013808,Q6581072,female,,,Louise Josephine Pope was an American painter
en,Louise Maertz,Q28921818,Q6581072,female,,,"Louise Maertz (1837 — February 4, 1918) was an American Civil War nurse, writer, and clubwoman based in Illinois"
en,Louise-Amélie Panet,Q28954700,Q6581072,female,,,"Louise-Amélie Panet (January 27, 1789 – March 24, 1862) was an artist, educator and writer living in Lower Canada"
en,Lucy Ella Moten,Q23035671,Q6581072,female,,,"Lucy Ella Moten (1851 – August 24, 1933) was an African American educator and doctor"
en,Luetta Elmina Braumuller,Q28921823,Q6581072,female,,,"Luetta Elmina (Bumstead) Braumuller (December 4, 1856 – December 13, 1898) was an artist and publisher who founded the periodical The China Decorator"
en,Luise Koch,Q1876631,Q6581072,female,,,"Luise Koch ( October 11, 1860 Bremen – 14 March 1934 in Bremen) was a German educator, politician (DDP) and women's rights activist"
en,Lyn Harris,Q28925092,Q6581072,female,,,Lyn Harris is a British independent perfumer who created the fragrance lines Miller Harris and Perfumer H
en,Lyn Mikel Brown,Q23014907,Q6581072,female,,,"Lyn Mikel Brown (born February 12, 1956) is an American academic, author, feminist, and community activist"
en,Lynn Basa,Q23014896,Q6581072,female,,,"Lynn Basa (born 1954) is an American painter, public artist, and author living in Chicago"
en,Lynne Harlow,Q23418770,Q6581072,female,,,Lynne Harlow (b
en,Lyse Lemieux (artist),Q29939255,Q6581072,female,,,"Lyse Lemieux (born 1956 in Ottawa, Canada) is a Canadian contemporary visual artist based in Vancouver"
en,Mabel Landrum Torrey,Q23018158,Q6581072,female,,,"Mabel Landrum Torrey (June 23, 1886 – April 1, 1974) was an American sculptor best known for her statuettes and sculptures of children"
en,Mabel McConnell Fitzgerald,Q23585978,Q6581072,female,,,"Mabel Washington Fitzgerald (4 July 1884 – 24 April 1958) was an Irish republican, suffragette, and socialist"
en,Madeleine Dansereau,Q29046068,Q6581072,female,,,"Madeleine Dansereau (1922 – March 20, 1991) was a Canadian artist and educator"
en,Magda_Ericson,Q19548042,Q6581072,female,,,Magda Galula Ericson (born c
en,Margaret Chen,Q23304283,Q6581072,female,,,Margaret L
en,Margaret De Patta,Q28957242,Q6581072,female,,,Margaret De Patta (1903–1964) was an American jewelry designer active in the mid-century jewelry movement
en,Margaret Desenfans,Q23616329,Q6581072,female,,,Margaret Desenfans (1737-1814) or (1731-1814) was one of three founders of Dulwich Picture Gallery
en,Margaret Lloyd (Moravian),Q20733837,Q6581072,female,,,"Margaret Lloyd (27 May 1709 – 8 September 1762) was a Welsh Moravian worker and activist, one of the early members of the Moravian congregation in London"
en,Margaret Synge Dryer,Q28939011,Q6581072,female,,,"Margaret ""Pegeen"" Synge Dryer (1921 – 1963) was a Canadian architect"
en,Margret the Adroit,Q24455672,Q6581072,female,,,"Margret the Adroit, or Icelandic: Margrét hin Haga, was an Icelandic carver of the early 13th century"
en,Maria Judson Strean,Q23618490,Q6581072,female,,,"Maria Judson Strean (1865–1949) was an American portraitist, active mainly as a miniaturist"
en,Mariam Rezaei,Q21642947,Q6581072,female,,,"Mariam Rezaei (born 16 October 1984) is a composer, performer, DJ and improviser"
